"","x"
"1",4.90460788945073
"2",4.8912509770729
"3",4.87428087285444
"4",4.87458644963298
"5",4.74892414963279
"6",4.55723965223054
"7",4.60366905986182
"8",4.51305489708029
"9",4.25674681824712
"10",4.3528552573736
"11",4.27652722048121
"12",4.54201737098282
"13",4.45910340985331
"14",4.49836418167028
"15",4.46429762710668
"16",4.65100360233126
"17",4.65766775494585
"18",4.62781191646892
"19",4.62359932145646
"20",4.63346605514294
"21",4.61690110886379
"22",4.63142255713216
"23",4.61611012602643
"24",4.63239617224168
"25",4.61313835563727
"26",4.60517018598809
"27",4.36982752721688
"28",4.2837244833835
"29",4.29755747804743
"30",4.25985900069967
"31",4.26310232300972
"32",4.23656724261249
"33",4.24233343993555
"34",4.22756340600832
"35",4.2354100025007
"36",4.24706564923976
"37",4.25262954118781
"38",4.25305625337692
"39",4.27360588571946
"40",4.28400026937532
"41",4.29251212746613
"42",4.30811095172371
"43",4.34276592072058
"44",4.36284381525711
"45",4.79455010714949
"46",4.7194805321655
"47",4.78264669111885
"48",4.72818396188324
"49",4.67934958416234
"50",4.7170692784855
"51",4.7102506624386
"52",4.7667787011845
"53",4.82735327620718
"54",4.95109758138006
"55",5.04716006877863
"56",4.89342709319071
"57",4.88371060052259
"58",5.0209815861504
"59",5.20975933956625
"60",5.22719723404491
"61",5.14458326660599
"62",4.94904353808962
"63",4.95765636930537
"64",4.94214229765096
"65",4.93368225292813
"66",5.00421472629333
"67",4.90697703248527
"68",4.82751341713153
"69",4.82044284292173
"70",4.69938886122707
"71",4.66296728471431
"72",4.63239617224168
"73",4.57306013206986
"74",4.63122772030738
"75",4.59076695567735
"76",4.56538931597625
"77",4.54148463430196
"78",4.46980854805742
"79",4.44476666449507
"80",4.3763857547838
"81",4.33283639048311
"82",4.28317268312119
"83",4.37826958579617
"84",4.61303914436679
"85",4.57831273181821
"86",4.41194944832514
"87",4.33401741548752
"88",4.28441380580688
"89",4.29182836675573
"90",4.2948334229715
"91",4.24218968948608
"92",4.20871437203751
"93",4.18357569595004
"94",4.13532654394372
"95",4.22508038421116
"96",4.25632167829882
"97",4.23757873030801
"98",4.35875800773453
"99",4.34367554328996
"100",4.3400320779712
"101",4.28840253264121
"102",4.37058644453133
"103",4.41109988215959
"104",4.4188406077966
"105",4.40293159535378
"106",4.35670882668959
"107",4.38937457233642
"108",4.48288955127926
"109",4.62369749060197
"110",4.60316818331742
"111",4.81259077683707
"112",4.77195500363292
"113",4.70763651753258
"114",4.62399194022868
"115",4.56486888921457
"116",4.58670066970443
"117",4.51754043602712
"118",4.57213033190989
"119",4.52363469800557
"120",4.56069569588626
"121",4.56226268497681
"122",4.69299789635361
"123",4.77508172270536
"124",4.70817793606232
"125",4.69336419672401
"126",4.69884266185073
"127",4.76430840732639
"128",4.7444102530796
"129",4.91647112403851
