DATE,PITGCG01USQ661N
1960-01-01,16.326863480672
1960-04-01,16.4084162453107
1960-07-01,16.4736584570217
1960-10-01,16.6041428804436
1961-01-01,16.5878323275159
1961-04-01,16.326863480672
1961-07-01,16.392105692383
1961-10-01,16.4084162453107
1962-01-01,16.5225901158049
1962-04-01,16.3594845865275
1962-07-01,16.4899690099494
1962-10-01,16.5062795628772
1963-01-01,16.4084162453107
1963-04-01,16.326863480672
1963-07-01,16.4247267982385
1963-10-01,16.4247267982385
1964-01-01,16.4410373511662
1964-04-01,16.326863480672
1964-07-01,16.4736584570217
1964-10-01,16.4410373511662
1965-01-01,16.4899690099494
1965-04-01,16.6693850921546
1965-07-01,16.8161800685043
1965-10-01,16.9792855977818
1966-01-01,17.2239438916979
1966-04-01,17.2076333387702
1966-07-01,17.4196705268309
1966-10-01,17.4033599739031
1967-01-01,17.3218072092644
1967-04-01,17.3381177621921
1967-07-01,17.5012232914696
1967-10-01,17.5175338443973
1968-01-01,17.6969499266025
1968-04-01,17.8274343500245
1968-07-01,17.9905398793019
1968-10-01,18.0557820910129
1969-01-01,18.2351981732181
1969-04-01,18.4798564671342
1969-07-01,18.6918936551949
1969-10-01,18.8713097374001
1970-01-01,19.0996574783885
1970-04-01,19.0507258196053
1970-07-01,19.1812102430272
1970-10-01,19.197520795955
1971-01-01,19.4748001957266
1971-04-01,19.6215951720763
1971-07-01,19.7194584896428
1971-10-01,19.7847007013538
1972-01-01,20.0456695481977
1972-04-01,20.1109117599087
1972-07-01,20.4534333713913
1972-10-01,20.5839177948132
1973-01-01,21.4483770999837
1973-04-01,22.1660414288044
1973-07-01,23.0141901810471
1973-10-01,23.340401239602
1974-01-01,24.7920404501713
1974-04-01,25.3139781438591
1974-07-01,26.4067851900179
1974-10-01,27.4669711303213
1975-01-01,27.7279399771652
1975-04-01,28.0541510357201
1975-07-01,28.8370575762518
1975-10-01,29.3100636111564
1976-01-01,29.2122002935899
1976-04-01,29.4079269287229
1976-07-01,29.5547219050726
1976-10-01,29.9951068341217
1977-01-01,30.6964606100147
1977-04-01,31.4141249388354
1977-07-01,31.6750937856793
1977-10-01,32.1154787147284
1978-01-01,32.718969173055
1978-04-01,33.7139129016474
1978-07-01,34.2684717011907
1978-10-01,35.0187571358669
1979-01-01,36.3072908171587
1979-04-01,37.2369923340401
1979-07-01,38.3461099331267
1979-10-01,39.8793019083347
1980-01-01,41.6571521774588
1980-04-01,42.6847170119067
1980-07-01,44.1037351166204
1980-10-01,44.9355733159354
1981-01-01,46.175175338444
1981-04-01,47.2679823846028
1981-07-01,47.5941934431577
1981-10-01,47.9530256075681
1982-01-01,48.4586527483282
1982-04-01,48.4749633012559
1982-07-01,49.1436959712934
1982-10-01,49.6493231120535
1983-01-01,49.3394226064264
1983-04-01,49.3720437122818
1983-07-01,49.6982547708367
1983-10-01,49.8776708530419
1984-01-01,50.5137824172239
1984-04-01,50.5300929701517
1984-07-01,50.5300929701517
1984-10-01,50.6279562877181
1985-01-01,50.5953351818626
1985-04-01,50.8399934757788
1985-07-01,50.6605773935736
1985-10-01,51.1988256401892
1986-01-01,50.25281357038
1986-04-01,49.3720437122818
1986-07-01,49.2252487359322
1986-10-01,49.6493231120535
1987-01-01,49.9755341706084
1987-04-01,50.6931984994291
1987-07-01,51.0357201109117
1987-10-01,51.0357201109117
1988-01-01,51.0520306638395
1988-04-01,51.655521122166
1988-07-01,52.3731854509868
1988-10-01,52.8135703800359
1989-01-01,53.8411352144838
1989-04-01,55.1459794487033
1989-07-01,54.9502528135704
1989-10-01,55.5211221660414
1990-01-01,56.9238297178274
1990-04-01,56.9075191648997
1990-07-01,57.9187734464198
1990-10-01,59.6803131626162
1991-01-01,58.93002772794
1991-04-01,58.8974066220845
1991-07-01,58.8810960691567
1991-10-01,59.0442015984342
1992-01-01,58.8321644103735
1992-04-01,59.5335181862665
1992-07-01,59.8271081389659
1992-10-01,59.9412820094601
1993-01-01,60.0880769858098
1993-04-01,60.7731202087751
1993-07-01,60.0880769858098
1993-10-01,59.8271081389659
1994-01-01,59.9086609036046
1994-04-01,60.1696297504485
1994-07-01,60.6426357853531
1994-10-01,60.5284619148589
1995-01-01,60.903604632197
1995-04-01,61.5070950905235
1995-07-01,61.6212689610178
1995-10-01,61.8496167020062
1996-01-01,62.3226227369108
1996-04-01,63.2849453596477
1996-07-01,63.7253302886968
1996-10-01,64.1820257706736
1997-01-01,63.9373674767574
1997-04-01,63.5785353123471
1997-07-01,63.6927091828413
1997-10-01,63.643777524058
1998-01-01,62.7303865601044
1998-04-01,63.0402870657315
1998-07-01,63.2360137008644
1998-10-01,63.3175664655032
1999-01-01,63.3012559125754
1999-04-01,64.1494046648181
1999-07-01,65.2259011580492
1999-10-01,65.747838851737
2000-01-01,66.2697765454249
2000-04-01,67.3625835915837
2000-07-01,68.1291795791877
2000-10-01,68.7163594845865
2001-01-01,69.515576578046
2001-04-01,70.2495514597945
2001-07-01,69.4340238134072
2001-10-01,67.7377263089219
2002-01-01,67.4604469091502
2002-04-01,68.1618006850432
2002-07-01,68.3738378731039
2002-10-01,68.7652911433697
2003-01-01,70.4942097537106
2003-04-01,70.5431414124939
2003-07-01,71.3423585059534
2003-10-01,71.9295384113521
2004-01-01,72.5167183167509
2004-04-01,74.1967052683086
2004-07-01,74.3435002446583
2004-10-01,75.827760561083
2005-01-01,76.3496982547708
2005-04-01,77.6056108302071
2005-07-01,79.3508399934758
2005-10-01,80.737236992334
2006-01-01,80.4436470396346
2006-04-01,81.8300440384929
